Domain,Agency,Participates in DAP?
sustainability.gov,Environmental Protection Agency,No
sustainablecommunities.gov,Department of Transportation,No
swpa.gov,Department of Energy,No
symbols.gov,Department of Agriculture,No
taaps.gov,Department of the Treasury,Yes
tax.gov,Department of the Treasury,No
telework.gov,Office of Personnel Management,Yes
thecoolspot.gov,Department of Health And Human Services,No
thepeoplesgarden.gov,Department of Agriculture,No
time.gov,Department of Commerce,No
tissueengineering.gov,Department of Health And Human Services,No
trade.gov,Department of Commerce,Yes
trafficsafetymarketing.gov,Department of Transportation,Yes
transportation.gov,Department of Transportation,Yes
treaslockbox.gov,Department of the Treasury,No
treasury.gov,Department of the Treasury,Yes
treasuryauctions.gov,Department of the Treasury,Yes
treasurydirect.gov,Department of the Treasury,Yes
treasuryhunt.gov,Department of the Treasury,Yes
treasuryscams.gov,Department of the Treasury,Yes
truman.gov,Harry S. Truman Scholarship Foundation,No
tsa.gov,Department of Homeland Security,Yes
tsp.gov,Federal Retirement Thrift Investment Board,No
tsunami.gov,Department of Commerce,No
tswg.gov,Department of Defense,No
ttb.gov,Department of the Treasury,Yes
ttbonline.gov,Department of the Treasury,No
tva.gov,Tennessee Valley Authority,No
tvaoig.gov,Tennessee Valley Authority,No
ucrdatatool.gov,Department of Justice,No
udall.gov,Morris K. Udall Foundation,No
unicor.gov,Department of Justice,Yes
unitedweride.gov,Department of Transportation,Yes
unlocktalent.gov,Office of Personnel Management,Yes
urbanwaters.gov,Environmental Protection Agency,Yes
us-cert.gov,Department of Homeland Security,Yes
usa.gov,General Services Administration,Yes
usability.gov,Department of Health And Human Services,Yes
usadf.gov,African Development Foundation,No
usaid.gov,U.S. Agency for International Development,Yes
usaidallnet.gov,U.S. Agency for International Development,No
usajobs.gov,Office of Personnel Management,Yes
usalearning.gov,Office of Personnel Management,Yes
usandc.gov,Department of Defense,Yes
usap.gov,National Science Foundation,No
usaperformance.gov,General Services Administration,No
usaspending.gov,Department of the Treasury,No
usastaffing.gov,Office of Personnel Management,No
usbr.gov,Department of the Interior,Yes
uscirf.gov,General Services Administration,No
uscis.gov,Department of Homeland Security,Yes
usda.gov,Department of Agriculture,Yes
usdebitcard.gov,Department of the Treasury,No
usembassy-mexico.gov,Department of State,No
usembassy.gov,Department of State,No
usgs.gov,Department of the Interior,Yes
usich.gov,US Interagency Council on Homelessness,No
usicn.gov,Federal Trade Commission,No
usint.gov,Department of State,No
usitc.gov,U. S. International Trade Commission,No
usmarshals.gov,Department of Justice,Yes
usmint.gov,Department of the Treasury,Yes
usphs.gov,Department of Health And Human Services,No
uspis.gov,U. S. Postal Service,No
uspsoig.gov,"U.S. Postal Service, Office of Inspector General",No
uspto.gov,Department of Commerce,Yes
ustda.gov,U.S. Trade and Development Agency,Yes
ustr.gov,Executive Office of the President,No
utahfireinfo.gov,Department of the Interior,No
va.gov,Department of Veterans Affairs,Yes
vaccines.gov,Department of Health And Human Services,Yes
vallescaldera.gov,Department of Agriculture,No
vcf.gov,Department of Justice,Yes
vef.gov,General Services Administration,Yes
vehiclehistory.gov,Department of Justice,Yes
vetbiz.gov,Department of Veterans Affairs,Yes
vistacampus.gov,Corporation for National & Community Service,No
volunteer.gov,Department of the Interior,No
volunteeringinamerica.gov,Corporation for National & Community Service,No
wapa.gov,Department of Energy,No
watermonitor.gov,Department of the Interior,No
wdol.gov,Department of Commerce,No
weather.gov,Department of Commerce,Yes
webharvest.gov,National Archives and Records Administration,No
wethepeople.gov,National Endowment for the Humanities,No
whistleblowers.gov,Department of Labor,Yes
whitehouse.gov,Executive Office of the President,Yes
whitehouseconferenceonaging.gov,Department of Health And Human Services,No
wildfire.gov,Department of Agriculture,No
wildlifeadaptationstrategy.gov,Department of the Interior,No
wizard.gov,Department of the Treasury,Yes
wlci.gov,Department of the Interior,Yes
womenfarmerclaims.gov,Department of Agriculture,No
womenshealth.gov,Department of Health And Human Services,No
workplace.gov,Department of the Treasury,No
worldwar1centennial.gov,The United States World War One Centennial Commission,No
wrp.gov,Department of Labor,No
ymp.gov,Department of Energy,No
youthgo.gov,Department of the Interior,No
youthrules.gov,Department of Labor,No
