Domain Name,Domain Type,Agency,City,State,Status,Last Payment Date,Expiration Date
MECHANICVILLENY.GOV,City,Non-Federal Agency,Mechanicville,NY,ACTIVE,16-Oct-14,16-Jan-16
MEDINA-WA.GOV,City,Non-Federal Agency,Medina,WA,ACTIVE,2-Sep-14,30-Sep-15
MEMPHISTN.GOV,City,Non-Federal Agency,Memphis,TN,ACTIVE,1-Aug-14,30-Sep-15
MENDON-MA.GOV,City,Non-Federal Agency,Mendon,MA,ACTIVE,26-Dec-12,20-Jul-13
MENDONMA.GOV,City,Non-Federal Agency,Mendon,MA,ACTIVE,6-Aug-14,20-Jul-15
MENOMONIE-WI.GOV,City,Non-Federal Agency,Menomonie,WI,ACTIVE,9-Jul-14,30-Sep-15
MENTONEALABAMA.GOV,City,Non-Federal Agency,Mentone,AL,ACTIVE,11-Apr-14,1-May-15
MERCHANTVILLENJ.GOV,City,Non-Federal Agency,Merchantville,NJ,ACTIVE,28-Feb-14,25-May-15
MERIDENCT.GOV,City,Non-Federal Agency,Meriden,CT,ACTIVE,21-Jan-15,22-Mar-16
MERRIMACKNH.GOV,City,Non-Federal Agency,Merrimack,NH,ACTIVE,15-Sep-14,5-Dec-15
MESAAZ.GOV,City,Non-Federal Agency,Mesa,AZ,ACTIVE,11-Jun-14,9-Jul-15
MESILLANM.GOV,City,Non-Federal Agency,Mesilla,NM,ACTIVE,12-Feb-15,12-Feb-16
MESQUITETX.GOV,City,Non-Federal Agency,Mesquite,TX,ACTIVE,9-Sep-14,9-Sep-15
MIAMIBEACHFL.GOV,City,Non-Federal Agency,Miami Beach,FL,ACTIVE,4-Aug-14,30-Sep-15
MIAMIGARDENS-FL.GOV,City,Non-Federal Agency,Miami Gardens,FL,ACTIVE,4-Aug-14,30-Sep-15
MIAMILAKES-FL.GOV,City,Non-Federal Agency,Miami Lakes,FL,ACTIVE,13-Jun-14,18-Jul-15
MIAMISPRINGS-FL.GOV,City,Non-Federal Agency,Miami Springs,FL,ACTIVE,19-Aug-14,30-Oct-15
MIAMITOWNSHIPOH.GOV,City,Non-Federal Agency,Milford,OH,ACTIVE,2-Sep-14,30-Sep-15
MIAMITWPOH.GOV,City,Non-Federal Agency,Milford,OH,ACTIVE,2-Sep-14,30-Sep-15
MIDDLETONNH.GOV,City,Non-Federal Agency,Middleton,NH,ACTIVE,21-Jul-14,29-Jul-15
MIDDLETOWN-CT.GOV,City,Non-Federal Agency,Middletown,CT,ACTIVE,28-Jan-15,11-Mar-16
MIDDLETOWNCT.GOV,City,Non-Federal Agency,Middletown,CT,ACTIVE,26-Nov-14,18-Nov-15
MIDDLETOWNVA.GOV,City,Non-Federal Agency,Middletown,VA,ACTIVE,16-Jul-13,12-Dec-13
MIDLANDTEXAS.GOV,City,Non-Federal Agency,Midland,TX,ACTIVE,12-Jan-15,7-Feb-16
MIDLOTHIANTX.GOV,City,Non-Federal Agency,Midlothian,TX,ACTIVE,13-Feb-15,12-Feb-16
MIDWAY-NC.GOV,City,Non-Federal Agency,Winston-Salem,NC,ACTIVE,20-Mar-14,18-Jun-15
MIFFLIN-OH.GOV,City,Non-Federal Agency,Gahanna,OH,ACTIVE,5-Jun-14,3-Mar-15
MILAN-NY.GOV,City,Non-Federal Agency,Milan,NY,ACTIVE,15-Sep-14,22-Sep-15
MILANMO.GOV,City,Non-Federal Agency,Milan,MO,ACTIVE,24-Mar-14,20-Jun-15
MILANOHIO.GOV,City,Non-Federal Agency,Milan,OH,ACTIVE,25-Feb-15,25-Feb-16
MILFORD-CT.GOV,City,Non-Federal Agency,Milford,CT,ACTIVE,16-Sep-14,30-Sep-15
MILFORD-DE.GOV,City,Non-Federal Agency,Milford,DE,ACTIVE,3-Jul-14,30-Sep-15
MILFORDNE.GOV,City,Non-Federal Agency,Milford,NE,ACTIVE,22-Dec-14,20-Feb-16
MILLIKENCO.GOV,City,Non-Federal Agency,Milliken,CO,ACTIVE,4-Mar-14,31-Mar-15
MILLIKENCOLORADO.GOV,City,Non-Federal Agency,Milliken,CO,ACTIVE,17-Sep-14,5-Oct-15
MILLINGTONTN.GOV,City,Non-Federal Agency,Millington,TN,ACTIVE,2-Mar-15,30-Jan-16
MILLSTONENJ.GOV,City,Non-Federal Agency,Millstone,NJ,ACTIVE,14-Feb-15,10-Mar-16
MILLVILLENJ.GOV,City,Non-Federal Agency,Millville,NJ,ACTIVE,21-Jan-15,24-Jan-16
MILTON-WI.GOV,City,Non-Federal Agency,Milton,WI,ACTIVE,5-Jan-15,5-Apr-16
MILWAUKIEOREGON.GOV,City,Non-Federal Agency,Milwaukie,OR,ACTIVE,6-Aug-13,3-Nov-14
MINEOLA-NY.GOV,City,Non-Federal Agency,Mineola,NY,ACTIVE,10-Sep-14,30-Sep-15
MINERALWELLSTX.GOV,City,Non-Federal Agency,Mineral Wells,TX,ACTIVE,10-Mar-14,9-Mar-15
MINNEAPOLIS-MN.GOV,City,Non-Federal Agency,Minneapolis,MN,ACTIVE,6-Aug-14,30-Sep-15
MINNEAPOLISMN.GOV,City,Non-Federal Agency,Minneapolis,MN,ACTIVE,6-Aug-14,21-Aug-15
MINNETONKA-MN.GOV,City,Non-Federal Agency,Minnetonka,MN,ACTIVE,18-Feb-14,13-May-15
MIRAMARFL.GOV,City,Non-Federal Agency,Miramar,FL,ACTIVE,5-Nov-14,5-Nov-15
MISSIONHILLSKS.GOV,City,Non-Federal Agency,Mission Hills,KS,ACTIVE,10-Nov-14,29-Sep-15
MISSOULA-MT.GOV,City,Non-Federal Agency,Missoula,MT,ACTIVE,3-May-11,3-May-12
MISSOURICITYTEXAS.GOV,City,Non-Federal Agency,Missouri City,TX,ACTIVE,8-Jan-15,12-Mar-16
MISSOURICITYTX.GOV,City,Non-Federal Agency,Missouri City,TX,ACTIVE,8-Jan-15,12-Mar-16
MITCHELL-IN.GOV,City,Non-Federal Agency,Mitchell,IN,ACTIVE,24-Sep-12,20-Oct-13
MOBILE-AL.GOV,City,Non-Federal Agency,Mobile,AL,ACTIVE,16-Jul-13,30-Sep-13
MOCKSVILLENC.GOV,City,Non-Federal Agency,Mocksville,NC,ACTIVE,27-Aug-14,26-Sep-15
MONROEGA.GOV,City,Non-Federal Agency,Monroe,GA,ACTIVE,30-Oct-14,29-Dec-15
MONROEMI.GOV,City,Non-Federal Agency,Monroe,MI,ACTIVE,14-Jul-14,30-Sep-15
MONROETWP-OH.GOV,City,Non-Federal Agency,Bethel,OH,ACTIVE,20-Nov-14,20-Nov-15
MONROEWA.GOV,City,Non-Federal Agency,Monroe,WA,ACTIVE,12-Jan-15,16-Feb-16
MONTAGUE-MA.GOV,City,Non-Federal Agency,Turners Falls,MA,ACTIVE,10-Nov-14,10-Dec-15
MONTCLAIRCA.GOV,City,Non-Federal Agency,Montclair,CA,ACTIVE,20-Mar-13,20-Mar-14
MONTEREYMA.GOV,City,Non-Federal Agency,Monterey,MA,ACTIVE,12-Sep-14,12-Oct-15
MONTGOMERYAL.GOV,City,Non-Federal Agency,Montgomery,AL,ACTIVE,13-Mar-15,7-Mar-16
MONTGOMERYOHIO.GOV,City,Non-Federal Agency,Montgomery,OH,ACTIVE,14-Feb-12,14-Apr-13
MONTGOMERYTEXAS.GOV,City,Non-Federal Agency,Montgomery,TX,ACTIVE,8-Apr-14,7-May-15
MONTICELLOIN.GOV,City,Non-Federal Agency,Monticello,IN,ACTIVE,25-Feb-14,27-Feb-15
MOODYALABAMA.GOV,City,Non-Federal Agency,Moody,AL,ACTIVE,17-Jul-13,19-Apr-13
MOORESVILLE-NC.GOV,City,Non-Federal Agency,Mooresville,NC,ACTIVE,24-Jul-14,24-Jul-15
MOORPARKCA.GOV,City,Non-Federal Agency,Moorpark,CA,ACTIVE,30-Oct-13,29-Nov-14
MOREHEAD-KY.GOV,City,Non-Federal Agency,Morehead,KY,ACTIVE,19-Aug-14,9-Nov-15
MORGANTONNC.GOV,City,Non-Federal Agency,Morganton,NC,ACTIVE,3-Mar-15,1-May-16
MORGANTOWNWV.GOV,City,Non-Federal Agency,Morgantown,WV,ACTIVE,18-Feb-15,10-May-16
MOULTONBOROUGHNH.GOV,City,Non-Federal Agency,Moultonborough,NH,ACTIVE,29-Jul-14,17-Oct-15
MOUNTAINAIRNM.GOV,City,Non-Federal Agency,Mountainair,NM,ACTIVE,12-Apr-12,8-Apr-13
MOUNTAINHOUSECA.GOV,City,Non-Federal Agency,Mountain House,CA,ACTIVE,30-May-14,30-May-15
MOUNTAINPARK-GA.GOV,City,Non-Federal Agency,Mountain Park,GA,ACTIVE,29-Sep-14,27-Sep-15
MOUNTAINVIEW.GOV,City,Non-Federal Agency,Mountain View,CA,ACTIVE,9-Sep-14,30-Sep-15
MOUNTCARMELTN.GOV,City,Non-Federal Agency,Mount Carmel,TN,ACTIVE,18-Dec-14,22-Feb-16
MOUNTPOCONO-PA.GOV,City,Non-Federal Agency,Mount Pocono,PA,ACTIVE,15-Jul-14,15-Jul-15
MOUNTVERNONWA.GOV,City,Non-Federal Agency,Mount Vernon,WA,ACTIVE,30-Jun-14,27-Aug-15
MQUEBRADILLASPR.GOV,City,Non-Federal Agency,Quebradillas,PR,ACTIVE,12-Jul-13,12-Jul-14
MTCRESTEDBUTTE-CO.GOV,City,Non-Federal Agency,Mt. Crested Butte,CO,ACTIVE,9-Oct-14,8-Nov-15
MTPLEASANTWI.GOV,City,Non-Federal Agency,Mount Pleasant,WI,ACTIVE,2-Jul-14,30-Sep-15
MTSHASTACA.GOV,City,Non-Federal Agency,Mt. Shasta,CA,ACTIVE,13-Oct-14,9-Jan-16
MUKILTEOWA.GOV,City,Non-Federal Agency,Mukilteo,WA,ACTIVE,30-Jun-14,30-Jun-15
MURFREESBOROTN.GOV,City,Non-Federal Agency,Murfreesboro,TN,ACTIVE,16-Sep-14,17-Sep-15
MURPHYSBORO-IL.GOV,City,Non-Federal Agency,Murphysboro,IL,ACTIVE,31-Oct-14,30-Dec-15
MURPHYTX.GOV,City,Non-Federal Agency,Murphy,TX,ACTIVE,11-Jun-14,1-Sep-15
MURRAYKY.GOV,City,Non-Federal Agency,Murray,KY,ACTIVE,13-Jun-14,2-Sep-15
MUSCATINEIOWA.GOV,City,Non-Federal Agency,Muscatine,IA,ACTIVE,5-Mar-12,3-Jun-13
MUSKEGON-MI.GOV,City,Non-Federal Agency,Muskegon,MI,ACTIVE,25-Feb-15,17-May-16
MYARLINGTONTX.GOV,City,Non-Federal Agency,Arlington,TX,ACTIVE,3-Dec-14,27-Dec-15
MYCOLUMBUS.GOV,City,Non-Federal Agency,Columbus,OH,ACTIVE,17-Sep-14,13-Sep-15
MYDELRAYBEACHFL.GOV,City,Non-Federal Agency,Delray Beach,FL,ACTIVE,10-Sep-14,11-Jul-15
NAGSHEADNC.GOV,City,Non-Federal Agency,Nags Head,NC,ACTIVE,2-Jan-15,1-Feb-16
NANTICOKECITY-PA.GOV,City,Non-Federal Agency,NANTICOKE,PA,ACTIVE,8-Aug-13,17-Feb-14
NANTUCKET-MA.GOV,City,Non-Federal Agency,Nantucket,MA,ACTIVE,8-Sep-14,30-Sep-15
NAPLESCITYUT.GOV,City,Non-Federal Agency,Naples,UT,ACTIVE,28-Jul-14,26-Jul-15
NARRAGANSETTRI.GOV,City,Non-Federal Agency,Narragansett,RI,ACTIVE,8-Jan-15,12-Jan-16
NASHOTAH-WI.GOV,City,Non-Federal Agency,Nashotah,WI,ACTIVE,16-Jul-14,14-Oct-15
NASHUANH.GOV,City,Non-Federal Agency,Nashua,NH,ACTIVE,10-Nov-14,2-Feb-16
NASHVILLE.GOV,City,Non-Federal Agency,Nashville,TN,ACTIVE,31-Jul-14,30-Sep-15
NATCHITOCHESLA.GOV,City,Non-Federal Agency,Natchitoches,LA,ACTIVE,23-Jul-14,31-Jul-15
NATIONALCITYCA.GOV,City,Non-Federal Agency,National City,CA,ACTIVE,1-May-14,7-May-15
NAUGATUCK-CT.GOV,City,Non-Federal Agency,Naugatuck,CT,ACTIVE,19-Aug-14,5-Nov-15
NBCA.GOV,City,Non-Federal Agency,Newport Beach,CA,ACTIVE,31-Mar-14,23-May-15
NEBRASKACITYNE.GOV,City,Non-Federal Agency,Nebraska City,NE,ACTIVE,20-Oct-14,20-Oct-15
NEEDHAMMA.GOV,City,Non-Federal Agency,NEEDHAM,MA,ACTIVE,27-May-14,25-Jul-15
NEVADACITYCA.GOV,City,Non-Federal Agency,Nevada City,CA,ACTIVE,26-Sep-12,27-Aug-13
NEVILLEISLAND-PA.GOV,City,Non-Federal Agency,Pittsburgh,PA,ACTIVE,2-Aug-12,30-Sep-12
NEWAUBURNMN.GOV,City,Non-Federal Agency,New Auburn,MN,ACTIVE,6-Mar-15,6-Mar-16
NEWBEDFORD-MA.GOV,City,Non-Federal Agency,New Bedford,MA,ACTIVE,17-Nov-14,18-Nov-15
NEWBERGOREGON.GOV,City,Non-Federal Agency,Newberg,OR,ACTIVE,19-Jun-14,23-Jun-15
NEWBOSTONNH.GOV,City,Non-Federal Agency,New Boston,NH,ACTIVE,17-Jul-12,19-Jul-13
NEWBRIGHTONMN.GOV,City,Non-Federal Agency,New Brighton,MN,ACTIVE,1-Aug-14,30-Sep-15
NEWBRITAINCT.GOV,City,Non-Federal Agency,New Britain,CT,ACTIVE,28-Feb-14,20-May-15
NEWBURGH-IN.GOV,City,Non-Federal Agency,Newburgh,IN,ACTIVE,9-Sep-14,30-Sep-15
NEWBURGHHTSOH.GOV,City,Non-Federal Agency,Newburgh Heights,OH,ACTIVE,3-Jun-14,20-Jun-15
NEWCANAANCT.GOV,City,Non-Federal Agency,New Canaan,CT,ACTIVE,30-Apr-14,3-May-15
NEWCARROLLTONMD.GOV,City,Non-Federal Agency,New Carrollton,MD,ACTIVE,27-Jan-15,15-Apr-16
NEWCASTLEPA.GOV,City,Non-Federal Agency,New Castle,PA,ACTIVE,4-Sep-12,5-Sep-13
NEWCONCORD-OH.GOV,City,Non-Federal Agency,New Concord,OH,ACTIVE,24-Jul-14,30-Sep-15
NEWHARMONY-IN.GOV,City,Non-Federal Agency,New Harmony,IN,ACTIVE,30-Sep-14,29-Dec-15
NEWHAVENCT.GOV,City,Non-Federal Agency,New Haven,CT,ACTIVE,11-Mar-15,11-Mar-16
NEWINGTONCT.GOV,City,Non-Federal Agency,Newington,CT,ACTIVE,5-Jan-15,14-Dec-15
NEWMARKETNH.GOV,City,Non-Federal Agency,Newmarket,NH,ACTIVE,5-Aug-14,30-Sep-15
NEWMARLBOROUGHMA.GOV,City,Non-Federal Agency,Mill River,MA,ACTIVE,30-Jan-14,22-Apr-15
NEWNANGA.GOV,City,Non-Federal Agency,Newnan,GA,ACTIVE,14-Nov-13,16-Mar-14
NEWORLEANS-LA.GOV,City,Non-Federal Agency,New Orleans,LA,ACTIVE,19-Jun-14,5-Aug-15
NEWORLEANSLA.GOV,City,Non-Federal Agency,New Orleans,LA,ACTIVE,19-Jun-14,5-Aug-15
NEWPORT-RI.GOV,City,Non-Federal Agency,Newport,RI,ACTIVE,8-May-14,27-May-15
NEWPORTBEACH-CA.GOV,City,Non-Federal Agency,Newport Beach,CA,ACTIVE,2-Jul-13,30-Sep-14
NEWPORTBEACHCA.GOV,City,Non-Federal Agency,Newport Beach,CA,ACTIVE,31-Mar-14,25-Mar-15
NEWPORTKY.GOV,City,Non-Federal Agency,Newport,KY,ACTIVE,1-Jul-14,13-Jul-15
NEWPORTNEWSVA.GOV,City,Non-Federal Agency,Newport News,VA,ACTIVE,18-Jun-14,18-Jun-15
NEWPORTOREGON.GOV,City,Non-Federal Agency,Newport,OR,ACTIVE,8-Mar-15,7-Apr-16
NEWRICHMONDWI.GOV,City,Non-Federal Agency,New Richmond ,WI,ACTIVE,17-Nov-14,15-Dec-15
NEWRUSSIATOWNSHIP-OH.GOV,City,Non-Federal Agency,Oberlin,OH,ACTIVE,7-Aug-14,30-Sep-15
NEWTON-NH.GOV,City,Non-Federal Agency,Newton,NH,ACTIVE,27-Mar-14,29-Mar-15
NEWTONNC.GOV,City,Non-Federal Agency,Newton,NC,ACTIVE,19-Aug-14,30-Sep-15
NEWTOWN-CT.GOV,City,Non-Federal Agency,Newtown,CT,ACTIVE,1-Aug-14,30-Sep-15
NEWTOWNOHIO.GOV,City,Non-Federal Agency,Newtown,OH,ACTIVE,10-Jul-14,30-Jun-15
NEWTOWNPA.GOV,City,Non-Federal Agency,Newtown,PA,ACTIVE,4-Aug-14,2-Jul-15
NIAGARAFALLSNY.GOV,City,Non-Federal Agency,Niagara Falls,NY,ACTIVE,15-Sep-14,14-Sep-15
NIAGARAFALLSNYCARTS.GOV,City,Non-Federal Agency,Niagara Falls,NY,ACTIVE,30-May-14,30-May-15
NILES-IL.GOV,City,Non-Federal Agency,Niles,IL,ACTIVE,7-Jan-15,6-Feb-16
NILESTWPMI.GOV,City,Non-Federal Agency,Niles,MI,ACTIVE,27-Jun-13,19-Jun-14
NINNEKAHOK.GOV,City,Non-Federal Agency,NINNEKAH,OK,ACTIVE,11-Feb-15,11-Feb-16
NISSEQUOGUENY.GOV,City,Non-Federal Agency,St. James,NY,ACTIVE,17-Apr-14,24-May-15
NIXAMO.GOV,City,Non-Federal Agency,Nixa,MO,ACTIVE,2-Mar-15,29-May-16
NNVA.GOV,City,Non-Federal Agency,Newport News,VA,ACTIVE,18-Jun-14,18-Jun-15
NOGALESAZ.GOV,City,Non-Federal Agency,Nogales,AZ,ACTIVE,21-Apr-14,27-May-15
NOLA.GOV,City,Non-Federal Agency,New Orleans,LA,ACTIVE,19-Jun-14,5-Aug-15
NOLENSVILLETN.GOV,City,Non-Federal Agency,Nolensville,TN,ACTIVE,24-Nov-14,20-Feb-16
NORFOLK.GOV,City,Non-Federal Agency,Norfolk,VA,ACTIVE,16-Oct-14,20-Oct-15
NORFOLKVA.GOV,City,Non-Federal Agency,Norfolk,VA,ACTIVE,11-Jan-13,11-Jan-14
NORMANDYPARKWA.GOV,City,Non-Federal Agency,Normandy Park,WA,ACTIVE,10-Feb-15,9-Apr-16
NORMANOK.GOV,City,Non-Federal Agency,Norman,OK,ACTIVE,25-Feb-14,27-Mar-15
NORMANPARKGA.GOV,City,Non-Federal Agency,Norman Park,GA,ACTIVE,4-Sep-14,4-Sep-15
NORRIDGE-IL.GOV,City,Non-Federal Agency,Norridge,IL,ACTIVE,22-Jul-13,7-Nov-13
NORTHADAMS-MA.GOV,City,Non-Federal Agency,North Adams,MA,ACTIVE,4-Feb-15,28-Feb-16
NORTHAMPTONMA.GOV,City,Non-Federal Agency,Northampton,MA,ACTIVE,22-Oct-14,4-Nov-15
NORTHBENDWA.GOV,City,Non-Federal Agency,North Bend,WA,ACTIVE,10-Mar-14,6-May-15
NORTHBOROUGH-MA.GOV,City,Non-Federal Agency,Northborough,MA,ACTIVE,18-Dec-12,23-Sep-13
NORTHBRUNSWICKNJ.GOV,City,Non-Federal Agency,North Brunswick,NJ,ACTIVE,15-Feb-14,6-May-15
NORTHCANTONOHIO.GOV,City,Non-Federal Agency,North Canton,OH,ACTIVE,8-Dec-14,6-Feb-16
NORTHFIELD-VT.GOV,City,Non-Federal Agency,Northfield,VT,ACTIVE,5-Mar-15,30-Mar-16
NORTHFIELDVILLAGE-OH.GOV,City,Non-Federal Agency,NORTHFIELD,OH,ACTIVE,21-Oct-14,18-Oct-15
NORTHHAVEN-CT.GOV,City,Non-Federal Agency,North Haven,CT,ACTIVE,4-Mar-15,30-Mar-16
NORTHHEMPSTEADNY.GOV,City,Non-Federal Agency,MANHASSET,NY,ACTIVE,24-Mar-14,20-Jun-15
NORTHLEBANONTWPPA.GOV,City,Non-Federal Agency,Lebanon,PA,ACTIVE,12-Mar-15,5-Jun-16
NORTHPORTNY.GOV,City,Non-Federal Agency,Northport,NY,ACTIVE,27-Feb-15,28-Apr-16
NORTHPROVIDENCERI.GOV,City,Non-Federal Agency,North Providence,RI,ACTIVE,18-Sep-14,20-Nov-15
NORTHREADINGMA.GOV,City,Non-Federal Agency,North Reading,MA,ACTIVE,28-Sep-14,30-Sep-15
NORTHSIOUXCITY-SD.GOV,City,Non-Federal Agency,N. Sioux City,SD,ACTIVE,3-Sep-14,30-Sep-15
NORTHSTONINGTONCT.GOV,City,Non-Federal Agency,North Stonington,CT,ACTIVE,8-Oct-14,6-Oct-15
NORTHVERNON-IN.GOV,City,Non-Federal Agency,North Vernon,IN,ACTIVE,29-Aug-14,21-Nov-15
NORTONVA.GOV,City,Non-Federal Agency,Norton,VA,ACTIVE,13-Dec-14,20-Dec-15
NORWALKCA.GOV,City,Non-Federal Agency,Norwalk,CA,ACTIVE,4-Dec-14,6-Dec-15
NORWAYMI.GOV,City,Non-Federal Agency,Norway,MI,ACTIVE,2-Sep-14,30-Sep-15
NORWOOD-MA.GOV,City,Non-Federal Agency,Norwood,MA,ACTIVE,1-Oct-14,3-Nov-15
NORWOODMA.GOV,City,Non-Federal Agency,Norwood,MA,ACTIVE,1-Oct-14,3-Nov-15
NOTTINGHAM-NH.GOV,City,Non-Federal Agency,Nottingham,NH,ACTIVE,15-May-14,11-Jul-15
NSIDFL.GOV,City,Non-Federal Agency,Coral Springs,FL,ACTIVE,2-Mar-15,26-May-16
NYACK-NY.GOV,City,Non-Federal Agency,Nyack,NY,ACTIVE,22-Jan-15,22-Jan-16
OAKBLUFFSMA.GOV,City,Non-Federal Agency,Oak Bluffs,MA,ACTIVE,5-Jan-15,30-Jan-16
OAKHAM-MA.GOV,City,Non-Federal Agency,Oakham,MA,ACTIVE,26-Feb-15,14-Mar-16
OAKLAND-ME.GOV,City,Non-Federal Agency,Oakland,ME,ACTIVE,19-Jun-14,17-Jun-15
OAKLANDCA.GOV,City,Non-Federal Agency,Oakland,CA,ACTIVE,27-Jan-15,27-Jan-16
OAKLANDPARKFL.GOV,City,Non-Federal Agency,Oakland Park,FL,ACTIVE,15-Jan-15,13-Apr-16
OAKLAWN-IL.GOV,City,Non-Federal Agency,OAK LAWN,IL,ACTIVE,27-May-14,25-Aug-15
OAKRIDGETN.GOV,City,Non-Federal Agency,"Oak Ridge, TN 37830 United States",TN,ACTIVE,5-Mar-15,5-May-16
OAKWOODOHIO.GOV,City,Non-Federal Agency,Oakwood,OH,ACTIVE,22-Apr-14,14-May-15
OBERLINKANSAS.GOV,City,Non-Federal Agency,Oberlin,KS,ACTIVE,29-Dec-14,23-Mar-16
OCCOQUANVA.GOV,City,Non-Federal Agency,Occoquan,VA,ACTIVE,2-Jun-14,2-Jun-15
OCEANAWV.GOV,City,Non-Federal Agency,Oceana,WV,ACTIVE,24-Mar-14,6-Jun-15
OCEANCITYMD.GOV,City,Non-Federal Agency,Ocean City ,MD,ACTIVE,4-Aug-14,10-Oct-15
OCEANGATE-NJ.GOV,City,Non-Federal Agency,Ocean Gate,NJ,ACTIVE,6-Nov-13,25-Oct-14
OCEANSPRINGS-MS.GOV,City,Non-Federal Agency,Ocean Springs,MS,ACTIVE,23-Jul-13,14-Apr-13
OCONOMOWOC-WI.GOV,City,Non-Federal Agency,Oconomowoc,WI,ACTIVE,17-Jun-14,10-Sep-15
OGDEN-KS.GOV,City,Non-Federal Agency,Ogden ,KS,ACTIVE,5-Dec-14,30-Dec-15
OLDSAYBROOKCT.GOV,City,Non-Federal Agency,Old Saybrook,CT,ACTIVE,20-Nov-14,20-Nov-15
OLIVERSPRINGS-TN.GOV,City,Non-Federal Agency,Oliver Springs,TN,ACTIVE,31-Oct-14,30-Dec-15
OMAHA-NE.GOV,City,Non-Federal Agency,Omaha,NE,ACTIVE,23-Jul-13,21-Oct-14
OPALOCKAFL.GOV,City,Non-Federal Agency,OPALOCKA,FL,ACTIVE,12-Jan-15,8-Jan-16
ORMONDBEACH-FL.GOV,City,Non-Federal Agency,Ormond Beach,FL,ACTIVE,24-Jun-14,8-Sep-15
OROVALLEYAZ.GOV,City,Non-Federal Agency,Oro Valley,AZ,ACTIVE,21-Apr-14,12-Jul-15
OSAGEBEACH-MO.GOV,City,Non-Federal Agency,OSAGE BEACH,MO,ACTIVE,4-Nov-14,2-Dec-15
OSCODATOWNSHIPMI.GOV,City,Non-Federal Agency,Oscoda,MI,ACTIVE,13-Oct-14,10-Jan-16
OTHELLOWA.GOV,City,Non-Federal Agency,Othello,WA,ACTIVE,16-Jan-15,22-Jan-16
OTISFIELDME.GOV,City,Non-Federal Agency,OTISFIELD,ME,ACTIVE,12-Aug-14,31-Aug-15
OTTAWAKS.GOV,City,Non-Federal Agency,Ottawa,KS,ACTIVE,6-Nov-14,25-Nov-15
OYSTERBAY-NY.GOV,City,Non-Federal Agency,Oyster Bay,NY,ACTIVE,30-Dec-14,10-Jan-16
PADUCAHKY.GOV,City,Non-Federal Agency,Paducah,KY,ACTIVE,2-Jun-14,31-Aug-15
PALATKA-FL.GOV,City,Non-Federal Agency,Palatka,FL,ACTIVE,27-Jan-14,20-Mar-15
PALMETTOBAY-FL.GOV,City,Non-Federal Agency,Palmetto Bay,FL,ACTIVE,14-Jul-14,9-Sep-15
PALMSPRINGS-CA.GOV,City,Non-Federal Agency,Palm Springs,CA,ACTIVE,2-Jun-14,28-Jul-15
PALMSPRINGSCA.GOV,City,Non-Federal Agency,Palm Springs,CA,ACTIVE,22-Jul-14,17-Oct-15
PALOSHILLS-IL.GOV,City,Non-Federal Agency,Palos Hills,IL,ACTIVE,3-Jul-14,6-Jul-15
PANORAMAVILLAGETX.GOV,City,Non-Federal Agency,Panorama Village,TX,ACTIVE,1-Oct-14,22-May-15
PARADISEVALLEYAZ.GOV,City,Non-Federal Agency,Paradise Valley,AZ,ACTIVE,15-Jan-14,21-Jan-15
PARISTEXAS.GOV,City,Non-Federal Agency,Paris,TX,ACTIVE,7-Oct-14,6-Jan-16
PARISTN.GOV,City,Non-Federal Agency,Paris,TN,ACTIVE,5-May-14,29-Jun-15
PARKERSBURGWV.GOV,City,Non-Federal Agency,Parkersburg,WV,ACTIVE,17-Nov-14,17-Nov-15
PARKVILLEMO.GOV,City,Non-Federal Agency,Parkville,MO,ACTIVE,20-Mar-14,26-Apr-15
PARMAHEIGHTSOH.GOV,City,Non-Federal Agency,Parma Heights,OH,ACTIVE,2-Jul-14,30-Sep-15
PASADENACA.GOV,City,Non-Federal Agency,Pasadena,CA,ACTIVE,27-Oct-14,20-Oct-15
PASADENATX.GOV,City,Non-Federal Agency,Pasadena,TX,ACTIVE,16-Jul-14,15-Aug-15
PASCO-WA.GOV,City,Non-Federal Agency,Pasco,WA,ACTIVE,13-Feb-15,18-Sep-15
PATAGONIA-AZ.GOV,City,Non-Federal Agency,Patagonia,AZ,ACTIVE,28-May-14,29-May-15
PATERSONNJ.GOV,City,Non-Federal Agency,Paterson,NJ,ACTIVE,22-Aug-14,17-Oct-15
PAWLING-NY.GOV,City,Non-Federal Agency,Pawling,NY,ACTIVE,24-Apr-12,29-Apr-13
PAWNEEROCK-KS.GOV,City,Non-Federal Agency,Pawnee Rock,KS,ACTIVE,29-Jan-15,19-Mar-16
PAXTONFL.GOV,City,Non-Federal Agency,Laurel Hill,FL,ACTIVE,23-Jul-14,18-Oct-15
PAYSONAZ.GOV,City,Non-Federal Agency,Payson,AZ,ACTIVE,4-Mar-14,2-Jun-15
PEABODY-MA.GOV,City,Non-Federal Agency,Peabody,MA,ACTIVE,2-Jul-14,30-Sep-15
PEABODYMA.GOV,City,Non-Federal Agency,PEABODY,MA,ACTIVE,31-Jul-14,18-Oct-15
PEARLANDTX.GOV,City,Non-Federal Agency,Pearland,TX,ACTIVE,31-Dec-14,25-Mar-16
PECOSTX.GOV,City,Non-Federal Agency,Pecos,TX,ACTIVE,10-Mar-15,10-Mar-16
PEMBROKE-MA.GOV,City,Non-Federal Agency,Pembroke,MA,ACTIVE,14-May-14,25-Jun-15
